,Area,Classification
891,ES_04037,0
892,ES_04038,2
893,ES_04041,0
894,ES_04043,0
895,ES_04044,0
896,ES_04045,0
897,ES_04046,0
898,ES_04047,0
899,ES_04048,0
900,ES_04049,0
901,ES_04050,2
902,ES_04051,0
903,ES_04052,2
904,ES_04053,1
905,ES_04054,0
906,ES_04055,0
907,ES_04056,0
908,ES_04057,0
909,ES_04058,0
910,ES_04059,0
911,ES_04060,0
912,ES_04061,0
913,ES_04062,0
914,ES_04063,0
915,ES_04064,2
916,ES_04065,0
917,ES_04066,3
918,ES_04067,0
919,ES_04068,0
920,ES_04069,0
921,ES_04070,0
922,ES_04071,0
923,ES_04072,0
924,ES_04073,0
925,ES_04074,0
926,ES_04075,2
927,ES_04076,0
928,ES_04077,0
929,ES_04078,0
930,ES_04079,1
931,ES_04080,0
932,ES_04081,0
933,ES_04082,0
934,ES_04083,0
935,ES_04084,0
936,ES_04085,0
937,ES_04086,2
938,ES_04087,0
939,ES_04088,2
940,ES_04089,0
941,ES_04090,0
942,ES_04091,0
943,ES_04092,0
944,ES_04093,0
945,ES_04094,0
946,ES_04095,0
947,ES_04096,0
948,ES_04097,0
949,ES_04098,2
950,ES_04099,2
951,ES_04100,1
952,ES_04101,0
953,ES_04102,2
954,ES_04103,0
955,ES_04901,0
956,ES_04902,3
957,ES_04903,0
958,ES_04904,0
959,ES_05001,0
960,ES_05002,0
961,ES_05005,0
962,ES_05007,0
963,ES_05008,0
964,ES_05010,0
965,ES_05012,0
966,ES_05013,0
967,ES_05014,2
968,ES_05015,0
969,ES_05016,2
970,ES_05017,0
971,ES_05018,0
972,ES_05019,1
973,ES_05021,0
974,ES_05022,2
975,ES_05023,0
976,ES_05024,0
977,ES_05025,0
978,ES_05026,0
979,ES_05027,0
980,ES_05029,0
981,ES_05030,0
982,ES_05033,0
983,ES_05034,0
984,ES_05035,0
985,ES_05036,0
986,ES_05037,0
987,ES_05038,0
988,ES_05039,0
989,ES_05040,0
990,ES_05041,0
991,ES_05042,0
992,ES_05043,0
993,ES_05044,0
994,ES_05045,0
995,ES_05046,0
996,ES_05047,2
997,ES_05048,0
998,ES_05049,0
999,ES_05051,0
1000,ES_05052,0
1001,ES_05053,0
1002,ES_05054,0
1003,ES_05055,0
1004,ES_05056,0
1005,ES_05057,2
1006,ES_05058,0
1007,ES_05059,0
1008,ES_05060,0
1009,ES_05061,0
1010,ES_05062,0
1011,ES_05063,0
1012,ES_05064,0
1013,ES_05065,0
1014,ES_05066,0
1015,ES_05067,0
1016,ES_05069,0
1017,ES_05070,0
1018,ES_05072,0
1019,ES_05073,0
1020,ES_05074,0
1021,ES_05075,0
1022,ES_05076,0
1023,ES_05077,0
1024,ES_05078,0
1025,ES_05079,0
1026,ES_05080,0
1027,ES_05081,0
1028,ES_05082,0
1029,ES_05083,0
1030,ES_05084,0
1031,ES_05085,0
1032,ES_05086,0
1033,ES_05087,0
1034,ES_05088,0
1035,ES_05089,0
1036,ES_05090,0
1037,ES_05092,0
1038,ES_05093,0
1039,ES_05094,0
1040,ES_05095,0
1041,ES_05096,0
1042,ES_05097,0
1043,ES_05099,0
1044,ES_05100,0
1045,ES_05101,0
1046,ES_05102,2
1047,ES_05103,0
1048,ES_05104,0
1049,ES_05105,0
1050,ES_05106,0
1051,ES_05107,0
1052,ES_05108,0
1053,ES_05109,0
1054,ES_05110,0
1055,ES_05112,0
1056,ES_05113,0
1057,ES_05114,0
1058,ES_05115,2
1059,ES_05116,0
1060,ES_05117,0
1061,ES_05118,0
1062,ES_05119,0
1063,ES_05120,0
1064,ES_05121,0
1065,ES_05122,0
1066,ES_05123,0
1067,ES_05124,0
1068,ES_05125,0
1069,ES_05126,0
1070,ES_05127,0
1071,ES_05128,0
1072,ES_05129,0
1073,ES_05130,0
1074,ES_05131,0
1075,ES_05132,0
1076,ES_05133,0
1077,ES_05134,0
1078,ES_05135,0
1079,ES_05136,0
1080,ES_05138,0
1081,ES_05139,0
1082,ES_05140,0
1083,ES_05141,0
1084,ES_05142,0
1085,ES_05143,0
1086,ES_05144,0
1087,ES_05145,0
1088,ES_05147,0
1089,ES_05148,0
1090,ES_05149,0
1091,ES_05151,0
1092,ES_05152,0
1093,ES_05153,0
1094,ES_05154,0
1095,ES_05155,0
1096,ES_05156,0
1097,ES_05157,0
1098,ES_05158,0
1099,ES_05159,0
1100,ES_05160,0
1101,ES_05161,0
1102,ES_05162,0
1103,ES_05163,0
1104,ES_05164,0
1105,ES_05165,0
1106,ES_05166,0
1107,ES_05167,0
1108,ES_05168,2
1109,ES_05169,0
1110,ES_05170,0
1111,ES_05171,0
1112,ES_05172,0
1113,ES_05173,0
1114,ES_05174,0
1115,ES_05175,0
1116,ES_05176,0
1117,ES_05177,0
1118,ES_05178,0
1119,ES_05179,0
1120,ES_05180,0
1121,ES_05181,0
1122,ES_05182,0
1123,ES_05183,0
1124,ES_05184,0
1125,ES_05185,0
1126,ES_05186,0
1127,ES_05187,0
1128,ES_05188,0
1129,ES_05189,0
1130,ES_05190,0
1131,ES_05191,0
1132,ES_05192,0
1133,ES_05193,0
1134,ES_05194,0
1135,ES_05195,0
1136,ES_05196,0
1137,ES_05197,0
1138,ES_05198,0
1139,ES_05199,0
1140,ES_05200,0
1141,ES_05201,0
